cod_mun,municipio,populacao,ano_populacao,area_km2,densidade_hab_km2
3302502,Magé,244142,2025,396.821514473068,615.243859255443
3302601,Mangaratiba,43660,2025,372.4633455247535,117.21958824831101
3302700,Maricá,212470,2025,367.84003086725374,577.6152190370935
3302809,Mendes,18048,2025,96.66422741560363,186.70815960079432
3302858,Mesquita,178830,2025,41.83520854397726,4274.629103665481
3302908,Miguel Pereira,28142,2025,291.82649934699657,96.43401152044704
3303005,Miracema,28416,2025,308.55274443853904,92.09446524842113
3303104,Natividade,15551,2025,394.48166691967344,39.42135035432859
3303203,Nilópolis,155500,2025,19.582429825671195,7940.7918927481815
3303302,Niterói,516787,2025,135.94320523443602,3801.4919473819477
3303401,Nova Friburgo,203417,2025,951.3886847487412,213.81061522055185
3303500,Nova Iguaçu,843220,2025,528.2751603403289,1596.1757495029208
3303609,Paracambi,43627,2025,193.60481137794446,225.34047418291593
3303807,Paraty,47668,2025,934.299111631391,51.02006349633184
3303708,Paraíba do Sul,44479,2025,578.9342267769557,76.82910759590708
3303856,Paty do Alferes,31370,2025,318.7185294136267,98.4254039378069
3303906,Petrópolis,294926,2025,803.7167214678852,366.952673899027
3303955,Pinheiral,25096,2025,83.32750176245021,301.1730757456716
3304003,Piraí,29066,2025,496.90775549670803,58.493753978433446
3304102,Porciúncula,17832,2025,297.1521738323386,60.00965690414671
3304110,Porto Real,21089,2025,51.52654161949527,409.2842123140066
3304128,Quatis,14165,2025,288.7610194660325,49.05440501004414
3304144,Queimados,149135,2025,76.81850076482057,1941.3943062567182
3304151,Quissamã,23142,2025,734.5941296911755,31.50311044512285
3304201,Resende,137697,2025,1112.4872363851232,123.77400431795314
3304300,Rio Bonito,59126,2025,466.7248450760949,126.68277813742718
3304409,Rio Claro,17951,2025,857.4950493031721,20.934231649019498
3304508,Rio das Flores,9267,2025,485.5399580017929,19.085967791688486
3304524,Rio das Ostras,168455,2025,232.90636619936996,723.2734886078682
3304557,Rio de Janeiro,6730729,2025,1217.1485227458998,5529.91592580288
3304607,Santa Maria Madalena,10580,2025,826.8806692080708,12.795074784046884
3304706,Santo Antônio de Pádua,43697,2025,614.6524830371619,71.09220446663042
3305406,Sapucaia,18291,2025,548.9200907413531,33.321790017371725
3305505,Saquarema,95315,2025,358.6970942214053,265.72559838236924
3305554,Seropédica,84794,2025,269.0775832688999,315.1284435138619
3305604,Silva Jardim,22028,2025,954.4354406395838,23.079612367745536
3305703,Sumidouro,15693,2025,420.14645314299435,37.35126140564843
3304805,São Fidélis,41212,2025,1055.2998110157137,39.05240915407152
3304755,São Francisco de Itabapoana,47397,2025,1143.3321585765898,41.45514463531549
3304904,São Gonçalo,960196,2025,252.16959638088645,3807.7389732173892
3305133,São José de Ubá,7318,2025,254.45670254463332,28.75931318302129
3305158,São José do Vale do Rio Preto,22813,2025,224.03272521989632,101.8288733380724
3305000,São João da Barra,38740,2025,462.5553359523576,83.75214161185279
